"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"65","Lieberman, M. Journal of Tropical Ecology 1986","Lieberman, M. ","An Experimental Study of Seed Ingestion and Germination in a Plant-Animal Assemblage in Ghana","Journal of Tropical Ecology",1986,"http://www.jstor.org/stable/2559250?seq=1#page_scan_tab_contents","Poicephalus senegalus, Lamprotornis sp., Pycnonotus barbatus, Eidolon helvum, Epomophorus gambianus, Erythrocebus patats","Uvaria ovatat, Carissa edulis, Rauvolfia canescens, Ehretia cymosa, Capparis erythrocarpos, Byrsocarpus coccineus, Securinega virosa, Flacourtia flavescens, Hoslundia opposita, Azadirachta indica Nauclea latifolia, Clausena anisata, Solanum anomalum, Lantana camara, Premna quadrifolia, Vitex doniana","Accra Plains in southeastern Ghana","Ghana","Mainland","Old World","Mainland","yes","yes","No effects on germination were noticeable"
"66","Graae, B. Arctic, Antarctic, and Alpine Research 2004","Graae, B.","An Experimental Evaluation of the Arctic Fox (Alopex lagopus) as a Seed Disperser","Arctic, Antarctic, and Alpine Research",2004,"http://www.jstor.org.proxy.lib.iastate.edu/stable/1552299?seq=1#page_scan_tab_contents","Arctic Fox (Alopex lagopus)","Saxifraga cernua, Bartsia alpina, Polygonum vivparum, Chamaenerion latifolium, Oxyria dignya, Cerastium alpinum, Ranunculus hyperboreus, Salix glauca, Saxifra tricuspidata, Pedicularis hirsuta, Betula nana, Luzula parviflora, Gnaphalium norvegicum, Sibbaldia procumbens, Veronica alpina, Silene acaulis, Stellaria longipes, Papaver radicatum, Vaccinium uliginosu, Dryas integrifolia, Erjophorum scheuchzeri, Empetrum nigrum","Greenland","Greenland ","Mainland","Old World","Mainland","yes","yes","Cerastium alpinumand Stellaria longipes had higher germination after passage through the fox's digestive tract when compared to controls. Sibbaldia procumbens, Oxyria digyna, and Silene acaulis were favored by passage when shorter than 10 h. Salix glauca ssp. callicarpaea, Veronica alpina, Gnaphalium norvegicum, Papaver radicatum, Ranunculus hyperboreus, Chamaenerion latifolium, Luzula parviflora, and bulbils of Polygonum viviparum and Saxifraga cernua were inhibited by passage, whereas the remaining species had germination percentage too low to allow for evaluation."
"67","Midya, S. Journal of Tropical Ecology 1991","Midya, S.","The effect of birds upon germination of banyan (Ficus bengalensis) seeds","Journal of Tropical Ecology",1991,"http://www.jstor.org.proxy.lib.iastate.edu/stable/2559222?seq=1#page_scan_tab_contents","Bank Mynah, Jungle Mynah","Banyan (Ficus bengalensis)","Calcutta","India","Mainland","Old World","Mainland","yes","yes","Ingestion sped up germination by a couple days"
"68","Stevenson, Pablo American Journal of Primatology 2000","Stevenson, Pablo","Seed dispersal by wooly monkeys at Tinigua National Park, Columbia: dispersal distance, germination rates, dispersal quality","American Journal of Primatology",2000,"http://frutos.uniandes.edu.co/pagina/Documentos/Pdf/Dispersal2000AJP.pdf","Woolly Monkeys (Lagothrix lagothricha)","Apeiba aspera, Castilla ulei, Cecropia membranacea, Cecropria sciadophylla, Crepidospermum rhoifolium, Ficus fomelleria, Ficus insipida, Ficus nymphaeifolia, Gustavia hexapetala, Helicostylis tomentosa, Hyeronima alchorneoides, Hymenaea oblongifolia, Inga alba, Inga bonplandiana, Inga edulis, Jacratia digitata","Tinigua National Park, Colombia","Colombia","Mainland","New World","Mainland","no","yes","couldn't find the data for germination"
"69","Agame, M. Oecologia 1986","Agame, M.","The role of mallard (Anas platyrhynchos) in distribution and germination of Najas marina L. seeds.","Oecologia",1986,"http://link.springer.com/article/10.1007/BF01036757","mallard ducks (Anas platyrhynchos)","Najas marina L.","Merkaz Sappir, Isreal","Isreal","Mainland","Old World","Mainland","yes","yes","Ingestion digested most of the seeds, but the surving seeds germinated better"
"70","Nogales, M. Journal of Biogeography 2001","Nogales, M. ","Ecological and biogeographical implications of Yellow-Legged Gulls (Larus cachinnans Pallas) as seed dispersers of Rubia fruticosa Ait. (Rubiaceae) in the Canary Islands","Journal of Biogeography",2001,"http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2699.2001.00622.x/full","Yellow-Legged Gulls (Larus cachinnans Pallas)","Rubia fruticosa","Canary Islands","Spain","Island","Old World","Island","no","yes","Higher germination after ingestion"
"71","Barnea, A. Oikos 1990","Barnea, A. ","Differential germination of two closely related species of Solanum in response to bird ingestion.","Oikos",1990,"http://www.jstor.org.proxy.lib.iastate.edu/stable/3565943?seq=1#page_scan_tab_contents","bulbuls (Pycnonotus xanthopygus), blackbirds (turdus merula)","Solanum nigra, Solanum luteum","Isreal","Isreal","Mainland","Old World","Mainland","yes ","yes","Seeds of S. luteum had better germination if digested, whereas seeds of S. nigra had no change and ingestion only added in dispersal"
"72","Traveset, A. Journal of Ecology 2001","Traveset, A. ","Ecology of fruit-colour polymorphism in Myrtus communis and differential effects of birds and mammals on seed germination and seedling growth","Journal of Ecology",2001,"http://onlinelibrary.wiley.com/doi/10.1046/j.0022-0477.2001.00585.x/full","Birds, pine martens","Myrtus communis","Port des Canonge, north-western Mallorca.","Spain","Island","Old World","Island","no ","yes","Gathered feces from nature, that's why it just says birds. Ingestion had no effect on germination. "
"73","Auger, J. The American Midland Naturalist 2002","Auger, J.","Are American Black Bears (Ursus Americanus) Legitimate Seed Dispersers for Fleshy-Fruited shrubs?","The American Midland Naturalist",2002,"http://www.jstor.org.proxy.lib.iastate.edu/stable/3083209?seq=1#page_scan_tab_contents","Black Bears (Ursus Americanus)","Amelanchier alnifolia, Peraphyllum ramosissimum, Prunus virginiana, Mahonia repens, Rhus trilobata, Symphoricarpos oreophilus, Sumbucus cerulea","East Tavaputs Plateau in east-central Utah","United States","Mainland","New World","Mainland","no","yes","For chokecherry (Prunus virginiana), Oregon grape (Mahonia repens) and skunkbush sumac (Rhus trilobata), seeds ingested by wild black bears germinated to a significantly higher percentage than controls, but for snowberry (Symphoricarpos oreophilus) control seeds germinated significantly better"
"74","Figueroa, J. Plant Ecology 2002","Figueroa, J.","Effects of bird ingestion on seed germination of four woody species of the temperate rainforest of Chiloé island, Chile","Plant Ecology",2002,"http://link.springer.com/article/10.1023/A:1015889017812","Birds","Gaultheria mucronata, Luma apiculata, Myrceugenia planipes, and Myrteola nummularia.","Chiloé island, Chile","Chile","Island","New World","Island","no","yes","Ingestion had no effect on germination"
"75","Gimeno, I. Acta Oecologica 2002","Gimeno, I. ","Recruitment of two Opuntia species invading abandoned olive groves","Acta Oecologica",2002,"http://www.sciencedirect.com/science/article/pii/S1146609X02011438?np=y","Wild Boar","Opuntia maxima","Catalonia, Spain","Spain","Mainland","Old World","Mainland","no","yes","Ingestion increased germination and aided in seed growth"
"76","Motta, J.  2002","Motta, J.","The Frugivorous Diet of the Maned Wolf, Chrysocyon brachyurus, in Brazil: Ecology and Conservation",NA,2002,"http://www.ib.usp.br/labecoaves/PDFs/pdf12Maned%20wolf%20Ch19.pdf","maned wolf","Campomanesia sp., Campomanesia pubescens, Duguetia furfuracea, Melancium campestre, Myrtaceae sp., Parinari obtusifolia, Psidium, Psidium guajava, Solanum sisymbriifolium, Solanum crinitum, Solanum lycocarpum, Syagrus rommanzofiana","Brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion increased germination in seven of the species, and didn't affect the rest"
"77","Paulsen, T. Functional Ecology 2002","Paulsen, T.","Passage through bird guts increases germination rate and seedling growth in Sorbus aucuparia","Functional Ecology",2002,"http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2435.2002.00668.x/full","Turdus spp.","Sorbus aucuparia","west coast of Norway","Norway","Mainland","Old World","Mainland","no","yes","Ingested increased germination when there were three or more seeds grouped together. When a seed was alone, it was better for it to not be digested. "
"78","Schaumann,  F. Flora 2002","Schaumann,  F.","Endozoochorous seed dispersal by martens (Martes foina, M. martes) in two woodland habitats","Flora",2002,"http://www.sciencedirect.com/science/article/pii/S0367253004700377","Martes foina, Martes martes","Betula pendula, Malus sylvestris, Ribes uvacrispa, Vaccinium myrtillus, Vitis vinifera ","Brandenburg, Germany","Germany","Mainland","Old World","Mainland","no","yes","Ingestion helped one species, but not the others"
"79","Izhaki, I. Journal of Ecology 1990","Izhaki, I.","The effect of some mediterranean scrubland frugivores upon germination patterns","Journal of Ecology",1990,"http://www.jstor.org.proxy.lib.iastate.edu/stable/2261036?seq=1#page_scan_tab_contents","Turdus merula, Turdus philomelos Hartert, Pycnonotus barbatus Desfontaines, Sylvia atricapilla, Sylvia hortensis Gmelin, Sylvia curruca,  Phoenicurus phoenicurus ","Rubia tenuifolia D'Urv. (madder), Smilax aspera L. (greenbrier), Osyris alba L. (gardrobe), Pistacia palaestina Boissier (Palaestinian pistachio), Rhamnus palaestinus Boissier (buckthorn)","Isreal","Isreal","Mainland","Old World","Mainland","yes","yes","Ingestion had different effects for each type of plant depending on the species. "
"80","Stevenson, Pablo International Journal of Primatology 2002","Stevenson, Pablo","Effects of Seed Dispersal by Three Ateline Monkey Species on Seed Germination at Tinigua National Park, Colombia","International Journal of Primatology",2002,"http://link.springer.com/article/10.1023/A:1021118618936","woolly monkeys (Lagothrix lagothricha)","Apeiba aspera, Castilla ulei, Cecropia sciandophylla, Crepidospermum rhoifolium, Ficus insipida, Ficus nymphaeifolia, Gustavia hexapetala, Helicostylis tomentosa, Hyeronima alchorneoides, Inga alba, Inga edulis, Pourouma bicolor, Protium sagotianum, Pseudolmedia laevigata, Sarcaulus brasiliensis, Simarouba amara","Tinigua National Park, Colombia","Colombia","Mainland","New World","Mainland","no","yes","Ingestion increased germination for the majority of the plants."
"81","Stevenson, Pablo International Journal of Primatology 2002","Stevenson, Pablo","Effects of Seed Dispersal by Three Ateline Monkey Species on Seed Germination at Tinigua National Park, Colombia","International Journal of Primatology",2002,"http://link.springer.com/article/10.1023/A:1021118618936","spider monkeys (Ateles belzebuth)","Aliberia handrantha, Brosimum lactescens, Brsoimum alicastrum, Castilla ulei, Coussapoa orthoneura, Ficus pertusa, Inga edulis, Jacaratia digitata, Leonia crassa, Oenocarpus bataua, Protium crenatum, Protium sagotianum, Simarouba amara, Trichilia tuberculata, Trichostigma octandrum ","Tinigua National Park, Colombia","Colombia","Mainland","New World","Mainland","no","yes","Ingestion increased germination for the majority of the plants."
"82","Stevenson, Pablo International Journal of Primatology 2002","Stevenson, Pablo","Effects of Seed Dispersal by Three Ateline Monkey Species on Seed Germination at Tinigua National Park, Colombia","International Journal of Primatology",2002,"http://link.springer.com/article/10.1023/A:1021118618936","red howler (Alouatta seniculus)","Castilla ulei, Coccoloba densifrons, Ficus insipida, Inga acreana, Inga cylindrica, Guapira cuspidata, Pseudomedia laevis","Tinigua National Park, Colombia","Colombia","Mainland","New World","Mainland","no","yes","Ingestion increased germination for the majority of the plants."
